POOL|Sorcerer Bloodline|selections 53|linked+held 30|lines before 9800|lines after 1040|linked lines: held 6938, NOT-HELD 1822, no converted member rule 0|unlinked lines still printed 1040
LINE|Sorcerer|Celestial Bloodline|4|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|4|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|4|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|4|Celestial Bloodline ~ Wings of Heaven|Sorcerer_CelestialWingsOfHeaven_TimeMinutes|8|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|5|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|5|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|5|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|5|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|5|Celestial Bloodline ~ Wings of Heaven|Sorcerer_CelestialWingsOfHeaven_TimeMinutes|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|6|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|6|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|6|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|6|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|6|Celestial Bloodline ~ Wings of Heaven|Sorcerer_CelestialWingsOfHeaven_TimeMinutes|12|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|7|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|7|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|7|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|7|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|7|Celestial Bloodline ~ Wings of Heaven|Sorcerer_CelestialWingsOfHeaven_TimeMinutes|14|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|8|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|8|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|8|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|8|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|8|Celestial Bloodline ~ Wings of Heaven|Sorcerer_CelestialWingsOfHeaven_TimeMinutes|16|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|9|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|9|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|9|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|9|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|10|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|10|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|10|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|10|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|11|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|11|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|11|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|11|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|12|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|12|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|12|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|12|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|13|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|13|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|13|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|13|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|14|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|14|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|14|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|14|Celestial Bloodline ~ Conviction|Sorcerer_CelestialConviction_Times|1|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|15|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|15|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|15|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|16|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|16|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|16|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|17|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|17|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|17|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|18|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|18|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|18|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|19|Celestial Bloodline ~ Ascension|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|19|Celestial Bloodline ~ Ascension|FireResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Celestial Bloodline|19|Celestial Bloodline ~ Ascension|Sorcerer_CelestialAscension_SaveBonus|4|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|1|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|1|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|2|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|1|Deep Earth Bloodline ~ Rockseer|Sorcerer_DeepEarthRockseet_Duration|2|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|1|Deep Earth Bloodline ~ Rockseer|TremorsenseRange|30|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|2|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|2|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|4|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|2|Deep Earth Bloodline ~ Rockseer|Sorcerer_DeepEarthRockseet_Duration|4|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|2|Deep Earth Bloodline ~ Rockseer|TremorsenseRange|30|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|3|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|3|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|6|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|4|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|4|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|8|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|5|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|5|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|10|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|6|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|6|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|12|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|7|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|7|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|14|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|8|Deep Earth Bloodline ~ Crystal Shard|Sorcerer_DeepEarthCrystalShard_Times|1|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|8|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|16|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|9|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|18|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|10|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|20|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|11|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|22|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|12|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|24|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|13|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|26|NOT-HELD
LINE|Sorcerer|Deep Earth Bloodline|14|Deep Earth Bloodline ~ Earth Glide|Sorcerer_DeepEarthEarthGlide_Duration|28|NOT-HELD
LINE|Sorcerer|Destined Bloodline|1|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|1|Destined Bloodline ~ Fated|Sorcerer_DestinedFated_LuckBonus|0|NOT-HELD
LINE|Sorcerer|Destined Bloodline|1|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|0|NOT-HELD
LINE|Sorcerer|Destined Bloodline|1|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|2|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|2|Destined Bloodline ~ Fated|Sorcerer_DestinedFated_LuckBonus|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|2|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|0|NOT-HELD
LINE|Sorcerer|Destined Bloodline|2|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|3|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|3|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|0|NOT-HELD
LINE|Sorcerer|Destined Bloodline|3|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|4|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|4|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|0|NOT-HELD
LINE|Sorcerer|Destined Bloodline|4|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|5|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|5|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|5|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|6|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|6|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|6|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|7|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|7|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|7|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|8|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|8|Destined Bloodline ~ It Was Meant To Be|Sorcerer_DestinedItWasMeantToBe_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|8|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|9|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|9|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|10|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|10|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|11|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|11|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|12|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|12|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|13|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|13|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|14|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|14|Destined Bloodline ~ Within Reach|Sorcerer_Destined_WithinReach_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|15|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|16|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|17|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|18|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Destined Bloodline|19|Destined Bloodline ~ Destiny Realized|Sorcerer_DestinedDestinyRealized_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|1|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|1|Djinni Bloodline ~ Elemental Resistance|ElectricityResistanceBonus|0|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|1|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|2|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|1|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|2|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|2|Djinni Bloodline ~ Elemental Resistance|ElectricityResistanceBonus|10|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|2|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|4|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|2|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|3|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|3|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|6|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|3|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|4|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|4|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|8|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|4|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|5|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|5|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|10|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|5|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|6|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|6|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|12|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|6|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|7|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|7|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|14|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|7|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|8|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|8|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Duration|16|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|8|Djinni Bloodline ~ Whirlwind|Sorcerer_DjinniWhirlwind_Times|1|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|9|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|10|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|11|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|12|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|13|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Djinni Bloodline|14|Djinni Bloodline ~ Elemental Movement|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Bloodrager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePowers|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_DC|10|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_Dice|2|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_Times|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Crossblooded|BloodlineCasterLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Crossblooded|BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Crossblooded|BloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Crossblooded Rager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Dragon Resistances|Sorcerer_DraconicDragonResistances_NaturalArmorBonus|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Power of Wyrms|BlindsenseRange|60|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineArcana1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineClassSkill1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower15|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower20|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower3|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlinePower9|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Standard|Sorcerer_Draconic_BloodlineSpells1|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|1|Draconic Bloodline ~ Wings|Maneuverability|3|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Bloodrager|BloodragerBloodlineProgressionLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlineLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePower1|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Bloodrager|Bloodrager_Draconic_BloodlinePowers|1|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_DC|11|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_Dice|4|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Breath Weapon|Sorcerer_DraconicBreathWeapon_Times|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Claws|Sorcerer_GenericClaws_SizeBonus|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Crossblooded|BloodlineCasterLVL|0|NOT-HELD
LINE|Sorcerer|Draconic Bloodline|2|Draconic Bloodline ~ Crossblooded|BloodlineLVL|0|NOT-HELD
